,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MACD,signal,Buy_Signal_Price,Sell_Signal_Price
0,2022-01-19,2278.85,2278.85,2220.8,2232.65,2235.777072279725,11497,2099,25704729.0,3960.0,34.44,58.05,-46.2,0.0,0.0,,
1,2022-01-18,2385.0,2390.0,2241.75,2255.25,2299.6035633341726,15884,2398,36526903.0,6778.0,42.67,148.25,-129.75,1.8028490028486885,0.36056980056973775,2255.25,
2,2022-01-17,2360.0,2389.0,2301.5,2377.45,2341.967818634227,18085,2999,42354488.0,5612.0,31.03,87.5,17.45,12.942940398210794,2.8770439200979494,,
3,2022-01-14,2306.0,2372.9,2306.0,2359.85,2352.9552713736794,16656,2241,39190823.0,3206.0,19.25,66.9,53.85,20.119445731919313,6.325524282462222,,
4,2022-01-13,2306.75,2325.0,2298.2,2311.55,2308.25107498689,9535,1257,22009174.0,3415.0,35.82,26.8,4.8,21.659790985031123,9.392377622976003,,
5,2022-01-12,2326.15,2326.45,2273.6,2314.9,2308.907480014257,19639,2099,45344634.0,9046.0,46.06,52.85,-11.25,22.88701543137222,12.091305184655248,,
6,2022-01-11,2320.0,2344.8,2286.15,2297.75,2312.747461170848,6696,1021,15486157.0,2093.0,31.26,58.65,-22.25,22.21960420920186,14.116964989564572,,
7,2022-01-10,2285.9,2325.0,2279.7,2319.95,2303.9754892646774,10526,1535,24251646.0,3311.0,31.46,45.3,34.05,23.214428987168503,15.93645778908536,,
8,2022-01-07,2226.3,2304.3,2226.3,2283.25,2276.9391913659797,24832,2054,56540954.0,4985.0,20.07,78.0,56.95,20.80166288458213,16.909498808184715,,
9,2022-01-06,2234.0,2264.1,2203.0,2226.3,2238.9897948873395,9897,1673,22159282.0,1798.0,18.17,61.1,-7.7,14.131243141705909,16.353847674888954,,2226.3
10,2022-01-05,2237.0,2246.0,2208.0,2240.9,2234.251975051975,9620,973,21493504.0,4004.0,41.62,38.0,3.9,9.908763364333481,15.06483081277786,,
11,2022-01-04,2263.75,2263.75,2218.0,2223.7,2230.771456717153,8121,1106,18116095.0,2379.0,29.29,45.75,-40.05,5.11555256024576,13.074975162271441,,
12,2022-01-03,2230.0,2259.05,2213.5,2250.9,2237.5501399478812,10361,1405,23183257.0,4401.0,42.48,45.55,20.9,3.471691644675957,11.154318458752346,,
13,2021-12-31,2166.2,2238.9,2166.2,2217.4,2210.5265486725666,8362,1258,18484423.0,2648.0,31.67,72.7,51.2,-0.5281616839865819,8.81782243020456,,
14,2021-12-30,2174.8,2174.8,2154.4,2162.25,2162.8581445523196,5562,967,12029817.0,1680.0,30.2,20.4,-12.55,-8.055361167309002,5.443185710701848,,
15,2021-12-29,2139.9,2166.5,2139.0,2162.65,2153.4253196930945,3910,682,8419893.0,1648.0,42.15,27.5,22.75,-13.82903186031308,1.5887421964988628,,
16,2021-12-28,2142.8,2162.5,2140.15,2151.25,2150.986300270248,37373,2051,80388811.0,30843.0,82.53,22.35,8.45,-19.104368934771628,-2.5498800297552355,,
17,2021-12-27,2111.05,2139.0,2104.05,2135.9,2122.5254070054266,8108,1154,17209436.0,3737.0,46.09,34.95,24.85,-24.24425560068903,-6.888755143941994,,
18,2021-12-24,2152.05,2160.0,2112.4,2127.1,2128.250315170192,7139,1041,15193579.0,1887.0,26.43,47.6,-24.95,-28.696938822126413,-11.250391879578878,,
19,2021-12-23,2160.0,2177.0,2141.15,2149.65,2153.048116110788,24046,1461,51772195.0,18057.0,75.09,35.85,-10.35,-30.059617256903493,-15.012236955043802,,
20,2021-12-22,2141.05,2165.25,2135.1,2150.7,2146.9489598139294,7739,840,16615238.0,3850.0,49.75,30.15,9.65,-30.70092238663574,-18.149974041362192,,
21,2021-12-21,2135.95,2178.4,2125.0,2136.35,2145.5575894413046,65993,1161,141591782.0,61205.0,92.74,53.4,0.4,-31.998230708943083,-20.919625374878372,,
22,2021-12-20,2175.0,2198.15,2086.25,2114.7,2136.789241462677,16545,2998,35353178.0,6302.0,38.09,111.9,-60.3,-34.37705368842671,-23.611111037588042,,
23,2021-12-17,2261.9,2274.75,2208.1,2215.25,2238.0181536417977,9034,1982,20218256.0,3441.0,38.09,66.65,-46.65,-27.82795996935056,-24.454480823940546,,
24,2021-12-16,2312.0,2312.0,2263.3,2266.75,2274.418652144316,4407,664,10023363.0,1015.0,23.03,48.7,-45.25,-18.271513779540328,-23.217887415060506,2266.75,
25,2021-12-15,2319.7,2331.05,2275.55,2283.6,2298.6505970809376,6783,808,15591747.0,2388.0,35.21,55.5,-36.1,-9.231887690320946,-20.420687470112593,,
26,2021-12-14,2262.0,2325.05,2262.0,2319.05,2306.6374445430342,11270,1081,25995804.0,6272.0,55.65,63.05,57.05,0.7835673675040198,-16.17983650258927,,
27,2021-12-13,2312.7,2339.2,2290.8,2295.95,2315.2050575457934,6169,1290,14282500.0,2425.0,39.31,48.4,-16.75,6.778769280415418,-11.588115345988335,,
28,2021-12-10,2320.8,2328.8,2301.0,2316.4,2314.3841799709726,6890,1151,15946107.0,2679.0,38.88,27.8,-4.4,13.02995289559749,-6.66450169767117,,
29,2021-12-09,2295.95,2324.35,2288.5,2320.75,2307.090962099125,5145,884,11869983.0,1034.0,20.1,35.85,24.8,18.12612293147413,-1.7063767718421103,,
30,2021-12-08,2270.6,2295.95,2250.0,2291.75,2278.3062228654126,3455,693,7871548.0,802.0,23.21,45.95,21.15,19.598892926175722,2.554677167761456,,
31,2021-12-07,2220.35,2253.5,2212.0,2244.4,2233.0393338058116,5644,1037,12603274.0,1005.0,17.81,41.5,24.05,16.752215367309873,5.39418480767114,,
32,2021-12-06,2281.0,2281.0,2206.3,2215.1,2240.0672970843184,6345,1122,14213227.0,2061.0,32.48,74.7,-65.9,11.993682062018252,6.714084258540562,,
33,2021-12-03,2282.95,2303.4,2252.95,2260.4,2275.985970381917,11547,1405,26280810.0,5682.0,49.21,50.45,-22.55,11.742481528675853,7.719763712567621,,
34,2021-12-02,2260.0,2276.2,2230.05,2262.65,2244.5817920364952,20167,1870,45266481.0,13205.0,65.48,46.15,2.65,11.591341720175024,8.494079314089102,,
35,2021-12-01,2290.0,2330.9,2249.0,2252.5,2275.8353789323164,16784,2016,38197621.0,7704.0,45.9,81.9,-37.5,10.53114566827071,8.901492584925425,,
36,2021-11-30,2288.0,2320.0,2276.5,2288.05,2301.561445576775,11677,1523,26875333.0,1942.0,16.63,43.5,0.05,12.416392115715098,9.60447249108336,,
37,2021-11-29,2300.0,2323.2,2240.05,2287.95,2285.6561595368285,18654,2379,42636630.0,3515.0,18.84,83.15,-12.05,13.743962499146619,10.432370492696013,,
38,2021-11-26,2351.0,2387.0,2300.75,2309.3,2338.119669470267,13554,2009,31690874.0,2714.0,20.02,86.25,-41.7,16.330589295292157,11.612014253215241,,
39,2021-11-25,2400.05,2415.8,2381.6,2385.85,2395.205025572604,4497,684,10771237.0,1038.0,23.08,34.2,-14.2,24.277597875802257,14.145130977732645,,
40,2021-11-24,2426.85,2426.85,2394.5,2404.2,2410.874131450051,8779,1090,21165064.0,1629.0,18.56,32.35,-22.65,31.69103653146294,17.654312088478704,,
41,2021-11-23,2345.0,2420.6,2345.0,2408.95,2387.845746090644,11319,1402,27028026.0,3732.0,32.97,75.6,63.95,37.51705215590982,21.62686010196493,,
42,2021-11-22,2440.0,2440.0,2356.0,2373.85,2385.4654485828064,8538,1190,20367104.0,1952.0,22.86,84.0,-66.15,38.85404955790182,25.072297993152308,,
43,2021-11-18,2460.0,2500.05,2415.0,2439.65,2437.527742974763,11174,1233,27236935.0,3615.0,32.35,85.05,-20.35,44.707776302392176,28.999393655000283,,
44,2021-11-17,2471.5,2495.85,2463.8,2471.3,2475.244856432286,8846,1248,21896016.0,3706.0,41.89,32.05,-0.2,51.309325446339244,33.46138001326808,,
45,2021-11-16,2574.0,2574.0,2482.05,2492.9,2525.1364748431015,9401,1043,23738808.0,2715.0,28.88,91.95,-81.1,57.61983459961584,38.29307093053763,,
46,2021-11-15,2562.0,2587.95,2529.6,2558.0,2552.6849543967137,14363,1737,36664214.0,7002.0,48.75,58.35,-4.0,67.10049180403894,44.054555105237895,,
47,2021-11-12,2575.0,2575.1,2548.0,2572.05,2567.510317620878,9886,883,25382407.0,4379.0,44.29,27.1,-2.95,74.88447688666065,50.22053946152245,,
48,2021-11-11,2549.0,2564.1,2527.05,2557.25,2545.718480689435,12532,885,31902944.0,7846.0,62.61,37.05,8.25,78.94902956521992,55.966237482261946,,
49,2021-11-10,2534.4,2567.8,2516.35,2549.6,2544.975167981303,13692,1270,34845800.0,5343.0,39.02,51.45,15.2,80.6235477086475,60.89769952753906,,
50,2021-11-09,2524.0,2552.0,2503.0,2538.2,2532.762265718291,19261,1562,48783534.0,3183.0,16.53,49.0,14.2,80.10730354513771,64.7396203310588,,
51,2021-11-08,2445.0,2529.7,2441.65,2518.25,2499.058760616546,31790,3284,79445078.0,8683.0,27.31,88.05,73.25,77.19848200910974,67.231392666669,,
52,2021-11-04,2430.0,2435.0,2418.15,2431.1,2428.416614459341,7981,976,19381193.0,5970.0,74.8,16.85,1.1,67.08759924431115,67.20263398219743,,2431.1
53,2021-11-03,2391.0,2427.6,2391.0,2420.5,2410.661196911197,19684,2110,47451455.0,11334.0,57.58,36.6,29.5,57.555852357425465,65.27327765724303,,
54,2021-11-02,2379.0,2415.2,2371.25,2393.0,2392.058836482142,22707,1591,54316480.0,4674.0,20.58,43.95,14.0,47.238320154225676,61.66628615663956,,
55,2021-11-01,2361.45,2399.0,2328.1,2373.45,2366.875571843801,39565,4293,93645432.0,20735.0,52.41,70.9,12.0,37.05691093343694,56.74441111199904,,
56,2021-10-29,2289.95,2353.8,2240.15,2333.5,2315.665771683368,20857,2857,48297841.0,5295.0,25.39,113.65,43.55,25.47082780109895,50.48969444981903,,
57,2021-10-28,2236.25,2324.8,2236.25,2285.8,2298.042559853557,41518,4523,95410131.0,22126.0,53.29,88.55,49.55,12.298018192559084,42.85135919836704,,
58,2021-10-27,2233.8,2274.05,2233.8,2249.6,2252.929582350492,14414,1252,32473727.0,5907.0,40.98,40.25,15.8,-1.0504567792886519,34.070996002835905,,
59,2021-10-26,2210.0,2244.3,2210.0,2233.3,2228.220107369448,20490,2815,45656230.0,8931.0,43.59,34.3,23.3,-12.796977548921404,24.697401292484443,,
60,2021-10-25,2150.65,2262.6,2141.75,2217.1,2181.949062765164,38891,4861,84858181.0,17954.0,46.16,120.85,66.45,-23.146565302349245,15.128607973517708,,
61,2021-10-22,2237.2,2259.0,2167.6,2213.05,2209.4331716133943,21024,2293,46451123.0,8959.0,42.61,91.4,-24.15,-31.314515077230226,5.8399833633681215,,
62,2021-10-21,2298.95,2298.95,2203.35,2235.6,2240.5174399827756,18578,2361,41624333.0,4057.0,21.84,95.6,-63.35,-35.5581849569553,-2.439650300696563,,
63,2021-10-20,2287.0,2357.95,2222.0,2263.2,2285.6230704282225,217924,15006,498092122.0,101708.0,46.67,135.95,-23.8,-36.276066658085256,-9.206933572174302,,
64,2021-10-19,2330.0,2330.0,2234.0,2245.5,2277.351290684624,23166,2349,52757120.0,6401.0,27.63,96.0,-84.5,-37.837072929248734,-14.932961443589189,,
65,2021-10-18,2360.0,2360.0,2293.3,2304.25,2314.57517639994,26644,3776,61669541.0,7990.0,29.99,66.7,-55.75,-33.94228213965562,-18.734825582802475,,
66,2021-10-14,2272.0,2349.5,2270.5,2310.3,2313.1151623321434,23532,2373,54432226.0,6742.0,28.65,79.0,38.3,-30.02138015761375,-20.992136497764733,,
67,2021-10-13,2251.0,2269.15,2249.6,2259.7,2256.669876668356,5919,742,13357229.0,1392.0,23.52,19.55,8.7,-30.6437916513687,-22.922467528485527,,
68,2021-10-12,2245.0,2258.0,2228.0,2245.55,2243.57125984252,7620,1308,17096013.0,2714.0,35.62,30.0,0.55,-31.910993913981656,-24.720172805584752,,
69,2021-10-11,2245.0,2273.0,2243.35,2250.3,2243.293001676386,84706,1592,190020377.0,80016.0,94.46,29.65,5.3,-32.16124077028553,-26.208386398524908,,
70,2021-10-08,2280.0,2283.8,2237.0,2241.0,2256.321722704949,13235,1978,29862418.0,4683.0,35.38,46.8,-39.0,-32.73267359764304,-27.513243838348536,,
71,2021-10-07,2215.0,2275.0,2215.0,2266.75,2255.897143409541,20689,2173,46672256.0,10060.0,48.62,60.0,51.75,-30.753224404289085,-28.16123995153665,,
72,2021-10-06,2265.0,2278.35,2195.0,2204.85,2230.420281338377,27227,3431,60727653.0,12547.0,46.08,83.35,-60.15,-33.789801538791835,-29.28695226898769,,
73,2021-10-05,2268.45,2283.9,2255.35,2264.35,2267.0805919301606,9393,1043,21294688.0,3003.0,31.97,28.55,-4.1,-31.03737847848697,-29.63703751088755,,
74,2021-10-04,2231.0,2283.0,2231.0,2264.05,2264.124697415767,15285,1873,34607146.0,4015.0,26.27,52.0,33.05,-28.551150969946775,-29.419860202699397,2264.05,
75,2021-10-01,2239.0,2256.3,2212.65,2238.05,2237.961970338983,18880,2448,42252722.0,3775.0,19.99,43.65,-0.95,-28.351956757045173,-29.206279513568553,,
76,2021-09-30,2290.0,2290.0,2251.5,2254.5,2261.96400479936,7501,1308,16966992.0,3420.0,45.59,38.5,-35.5,-26.56054298047502,-28.67713220694985,,
77,2021-09-29,2290.0,2290.0,2245.65,2271.35,2265.596783190777,10756,1317,24368759.0,2667.0,24.8,44.35,-18.65,-23.510169873698487,-27.64373974029958,,
78,2021-09-28,2335.0,2357.1,2288.05,2300.15,2321.7528340918493,12085,1380,28058383.0,3058.0,25.3,69.05,-34.85,-18.55491835273415,-25.825975462786495,,
79,2021-09-27,2309.0,2343.85,2286.75,2330.05,2311.9143654114364,10755,1225,24864639.0,2259.0,21.0,57.1,21.05,-12.075961538841966,-23.07597267799759,,
80,2021-09-24,2381.5,2381.5,2282.0,2298.3,2313.796060330256,15382,2338,35590811.0,5986.0,38.92,99.5,-83.2,-9.39500151042148,-20.33977844448237,,
81,2021-09-23,2366.05,2379.9,2340.85,2352.4,2364.902815281528,79992,514,189173306.0,76307.0,95.39,39.05,-13.65,-2.8717991917392283,-16.846182593933744,,
82,2021-09-22,2344.7,2377.7,2331.35,2364.85,2359.203597548923,10118,1114,23870422.0,4313.0,42.63,46.35,20.15,3.264861305139675,-12.82397381411906,,
83,2021-09-21,2325.0,2339.05,2284.35,2333.75,2305.9369840011195,42878,2000,98873966.0,7867.0,18.35,54.7,8.75,5.554668118305472,-9.148245427634155,,
84,2021-09-20,2390.0,2390.0,2320.05,2326.6,2357.72327251713,12113,1077,28559102.0,7485.0,61.79,69.95,-63.4,6.715004873710768,-5.9755953673651705,,
85,2021-09-17,2447.0,2447.0,2373.4,2394.35,2386.560470112473,71217,4743,169963677.0,52046.0,73.08,73.6,-52.65,12.952134754741564,-2.1900493429438237,,
